iter	Passed	Remaining
315	6756	14624
316	6776	14601
317	6797	14578
318	6818	14556
319	6839	14534
320	6859	14510
321	6880	14487
322	6901	14466
323	6922	14442
324	6942	14419
325	6963	14397
326	6984	14375
327	7005	14353
328	7026	14330
329	7046	14306
330	7066	14282
331	7088	14261
332	7109	14239
333	7129	14216
334	7149	14192
335	7170	14170
336	7191	14148
337	7211	14124
338	7232	14101
339	7252	14079
340	7272	14054
341	7293	14032
342	7312	14007
343	7333	13985
344	7354	13963
345	7375	13941
346	7395	13917
347	7414	13892
348	7436	13870
349	7456	13847
350	7476	13824
351	7497	13802
352	7518	13779
353	7537	13755
354	7558	13732
355	7578	13709
356	7599	13687
357	7619	13663
358	7638	13639
359	7658	13615
360	7680	13595
361	7700	13571
362	7720	13547
363	7741	13525
364	7759	13500
365	7781	13478
366	7801	13456
367	7822	13434
368	7843	13412
369	7864	13390
370	7884	13367
371	7906	13347
372	7926	13324
373	7947	13303
374	7968	13280
375	7989	13259
376	8010	13237
377	8030	13214
378	8051	13192
379	8072	13171
380	8093	13148
381	8113	13126
382	8133	13102
383	8155	13081
384	8175	13058
385	8196	13037
386	8216	13015
387	8236	12992
388	8258	12970
389	8277	12946
390	8295	12920
391	8314	12895
392	8334	12872
393	8354	12850
394	8375	12827
395	8395	12805
396	8416	12783
397	8436	12760
398	8456	12737
399	8477	12715
400	8497	12692
401	8518	12671
402	8538	12649
403	8559	12627
404	8580	12605
405	8601	12583
406	8622	12562
407	8642	12540
408	8663	12518
409	8684	12497
410	8705	12475
411	8725	12452
412	8745	12430
413	8765	12407
414	8785	12384
415	8806	12362
416	8826	12339
417	8846	12317
418	8866	12294
419	8886	12272
420	8907	12250
421	8927	12227
422	8948	12206
423	8968	12183
424	8988	12161
425	9009	12139
426	9029	12116
427	9049	12094
428	9070	12072
429	9090	12050
430	9111	12029
431	9131	12005
432	9151	11983
433	9172	11961
434	9192	11940
435	9212	11917
436	9233	11895
437	9254	11873
438	9274	11852
439	9295	11830
440	9314	11807
441	9334	11784
442	9355	11762
443	9375	11741
444	9396	11719
445	9416	11697
446	9437	11675
447	9458	11653
448	9477	11630
449	9498	11609
450	9518	11586
451	9539	11565
452	9559	11542
453	9579	11520
454	9600	11500
455	9621	11478
456	9642	11456
457	9662	11435
458	9683	11413
459	9704	11392
460	9725	11371
461	9746	11349
462	9766	11327
463	9787	11306
464	9808	11285
465	9829	11264
466	9850	11243
467	9872	11222
468	9893	11200
469	9914	11180
470	9935	11159
471	9957	11138
472	9977	11117
473	9998	11095
474	10020	11074
475	10040	11053
476	10061	11032
477	10082	11010
478	10103	10989
479	10123	10967
480	10143	10944
481	10163	10922
482	10184	10901
483	10205	10880
484	10226	10859
485	10247	10838
486	10268	10816
487	10288	10794
488	10309	10773
489	10330	10752
490	10352	10731
491	10372	10709
492	10393	10688
493	10414	10667
494	10434	10645
495	10454	10623
496	10475	10602
497	10497	10581
498	10517	10559
499	10538	10538
500	10559	10517
501	10580	10496
502	10600	10474
503	10621	10452
504	10641	10430
505	10662	10409
506	10683	10388
507	10704	10367
508	10725	10345
509	10745	10324
510	10766	10302
511	10786	10281
512	10810	10262
513	10831	10241
514	10851	10219
515	10873	10198
516	10893	10176
517	10914	10155
518	10935	10134
519	10956	10113
520	10978	10093
521	10999	10072
522	11021	10051
523	11042	10030
524	11063	10009
525	11083	9988
526	11104	9967
527	11125	9945
528	11146	9924
529	11166	9902
530	11187	9881
531	11209	9860
532	11231	9840
533	11252	9819
534	11273	9798
535	11295	9777
536	11317	9757
537	11338	9736
538	11358	9715
539	11380	9694
540	11401	9673
541	11422	9652
542	11444	9631
543	11465	9610
544	11486	9589
545	11508	9569
546	11529	9548
547	11549	9526
548	11570	9504
549	11591	9484
550	11613	9463
551	11635	9443
552	11656	9422
553	11678	9401
554	11698	9379
555	11719	9359
556	11740	9337
557	11763	9317
558	11782	9295
559	11802	9273
560	11825	9253
561	11846	9232
562	11867	9211
563	11889	9190
564	11911	9170
565	11932	9150
566	11953	9128
567	11975	9108
568	11996	9087
569	12018	9066
570	12040	9045
571	12061	9025
572	12082	9003
573	12105	8984
574	12126	8962
575	12147	8941
576	12167	8919
577	12188	8898
578	12209	8877
579	12229	8856
580	12251	8835
581	12273	8814
582	12293	8792
583	12316	8773
584	12336	8751
585	12356	8729
586	12378	8709
587	12398	8687
588	12420	8666
589	12442	8646
590	12465	8626
591	12487	8605
592	12509	8585
593	12529	8563
594	12551	8543
595	12572	8522
596	12593	8501
597	12615	8480
598	12636	8459
599	12657	8438
600	12679	8417
601	12699	8396
602	12722	8376
603	12743	8354
604	12764	8333
605	12785	8312
606	12807	8292
607	12828	8271
608	12849	8249
609	12869	8228
610	12889	8206
611	12910	8184
612	12931	8163
613	12953	8143
614	12975	8122
615	12995	8101
616	13017	8080
617	13039	8059
618	13061	8039
619	13084	8019
620	13104	7997
621	13126	7977
622	13147	7956
623	13170	7935
624	13191	7915
625	13213	7894
626	13234	7873
627	13254	7851
628	13276	7830
629	13297	7809
630	13318	7788
631	13339	7767
632	13361	7746
633	13382	7725
634	13403	7704
635	13424	7682
636	13444	7661
637	13466	7640
638	13487	7619
639	13508	7598
640	13529	7577
641	13550	7556
642	13571	7534
643	13591	7513
644	13613	7492
645	13635	7472
646	13656	7450
647	13677	7429
648	13699	7408
649	13720	7388
650	13741	7366
651	13762	7345
652	13784	7324
653	13806	7304
654	13826	7282
655	13847	7261
656	13867	7240
657	13888	7218
658	13909	7197
659	13929	7175
660	13949	7154
661	13971	7133
662	13991	7111
663	14013	7091
664	14034	7069
665	14054	7048
666	14075	7027
667	14096	7005
668	14116	6984
669	14136	6962
670	14157	6941
671	14178	6920
672	14199	6899
673	14219	6877
674	14240	6856
675	14261	6835
676	14280	6813
677	14300	6791
678	14322	6771
679	14343	6750
680	14364	6728
681	14385	6707
682	14406	6686
683	14427	6665
684	14448	6644
685	14470	6623
686	14490	6601
687	14511	6580
688	14531	6559
689	14552	6538
690	14572	6516
691	14593	6495
692	14615	6474
693	14636	6453
694	14656	6432
695	14678	6411
696	14699	6389
697	14720	6368
698	14740	6347
699	14761	6326
700	14780	6304
701	14801	6283
702	14822	6262
703	14842	6240
704	14863	6219
705	14884	6198
706	14903	6176
707	14926	6156
708	14946	6134
709	14967	6113
710	14988	6092
711	15008	6070
712	15028	6049
713	15048	6027
714	15069	6006
715	15091	5985
716	15112	5964
717	15133	5943
718	15152	5921
719	15174	5901
720	15194	5879
721	15215	5858
722	15235	5837
723	15256	5815
724	15276	5794
725	15296	5773
726	15317	5751
727	15337	5730
728	15357	5709
729	15377	5687
730	15398	5666
731	15419	5645
732	15440	5624
733	15460	5602
734	15480	5581
735	15500	5559
736	15521	5538
737	15541	5517
738	15562	5496
739	15584	5475
740	15604	5454
741	15625	5433
742	15646	5411
743	15666	5390
744	15687	5369
745	15708	5348
746	15729	5327
747	15749	5305
748	15770	5284
749	15791	5263
750	15811	5242
751	15832	5221
752	15853	5200
753	15874	5179
754	15895	5158
755	15916	5137
756	15937	5115
757	15958	5094
758	15979	5073
759	16000	5052
760	16021	5031
761	16041	5010
762	16061	4989
763	16082	4968
764	16103	4946
765	16124	4925
766	16145	4904
767	16165	4883
768	16185	4861
769	16205	4840
770	16226	4819
771	16248	4798
772	16269	4777
773	16291	4756
774	16312	4735
775	16333	4714
776	16353	4693
777	16373	4672
778	16394	4651
779	16414	4629
780	16435	4608
781	16455	4587
782	16476	4566
783	16497	4545
784	16517	4523
785	16538	4502
786	16559	4481
787	16579	4460
788	16600	4439
789	16622	4418
790	16643	4397
791	16663	4376
792	16685	4355
793	16705	4334
794	16727	4313
795	16747	4292
796	16767	4270
797	16788	4249
798	16808	4228
799	16829	4207
800	16849	4186
801	16875	4166
802	16899	4145
803	16922	4125
804	16947	4105
805	16972	4085
806	16995	4064
807	17019	4044
808	17042	4023
809	17066	4003
810	17090	3982
811	17114	3962
812	17138	3941
813	17161	3921
814	17184	3900
815	17207	3880
816	17231	3859
817	17255	3839
818	17278	3818
819	17303	3798
820	17326	3777
821	17350	3757
822	17373	3736
823	17397	3715
824	17421	3695
825	17445	3674
826	17468	3654
827	17492	3633
828	17516	3613
829	17539	3592
830	17563	3571
831	17587	3551
832	17610	3530
833	17634	3510
834	17658	3489
835	17682	3468
836	17705	3448
837	17729	3427
838	17752	3406
839	17777	3386
840	17801	3365
841	17824	3344
842	17848	3324
843	17872	3303
844	17896	3282
845	17920	3262
846	17943	3241
847	17967	3220
848	17990	3199
849	18014	3179
850	18038	3158
851	18062	3137
852	18085	3116
853	18109	3096
854	18133	3075
855	18157	3054
856	18181	3033
857	18204	3012
858	18228	2992
859	18252	2971
860	18276	2950
861	18300	2929
862	18324	2909
863	18348	2888
864	18371	2867
865	18395	2846
866	18419	2825
867	18443	2804
868	18466	2783
869	18490	2763
870	18514	2742
871	18538	2721
872	18562	2700
873	18586	2679
874	18609	2658
875	18633	2637
876	18656	2616
877	18680	2595
878	18703	2574
879	18726	2553
880	18750	2532
881	18773	2511
882	18796	2490
883	18819	2469
884	18839	2448
885	18859	2426
886	18880	2405
887	18901	2384
888	18922	2362
889	18942	2341
890	18962	2319
891	18983	2298
892	19004	2277
893	19025	2255
894	19045	2234
895	19064	2212
896	19085	2191
897	19105	2170
898	19125	2148
899	19145	2127
900	19165	2105
901	19188	2084
902	19208	2063
903	19229	2042
904	19250	2020
905	19270	1999
906	19290	1978
907	19312	1956
908	19333	1935
909	19354	1914
910	19375	1892
911	19396	1871
912	19417	1850
913	19438	1828
914	19458	1807
915	19478	1786
916	19498	1764
917	19518	1743
918	19539	1722
919	19559	1700
920	19580	1679
921	19601	1658
922	19622	1636
923	19643	1615
924	19664	1594
925	19684	1573
926	19706	1551
927	19727	1530
928	19747	1509
929	19768	1487
930	19789	1466
931	19810	1445
932	19831	1424
933	19851	1402
934	19871	1381
935	19892	1360
936	19913	1338
937	19935	1317
938	19955	1296
939	19977	1275
940	19997	1253
941	20019	1232
942	20040	1211
943	20060	1190
944	20080	1168
945	20101	1147
946	20122	1126
947	20143	1104
948	20162	1083
949	20183	1062
950	20204	1041
951	20225	1019
952	20245	998
953	20265	977
954	20285	955
955	20306	934
956	20327	913
957	20348	892
958	20369	870
959	20390	849
960	20410	828
961	20432	807
962	20452	785
963	20473	764
964	20494	743
965	20514	722
966	20536	700
967	20556	679
968	20577	658
969	20597	637
970	20618	615
971	20639	594
972	20660	573
973	20681	552
974	20701	530
975	20722	509
976	20743	488
977	20763	467
978	20783	445
979	20804	424
980	20825	403
981	20847	382
982	20868	360
983	20890	339
984	20911	318
985	20932	297
986	20952	275
987	20973	254
988	20993	233
989	21014	212
990	21035	191
991	21055	169
992	21076	148
993	21097	127
994	21118	106
995	21140	84
996	21160	63
997	21180	42
998	21201	21
999	21221	0
