iter	RMSE
166	1.424004201
167	1.421616263
168	1.418080617
169	1.415043729
170	1.414173295
171	1.41220337
172	1.411198628
173	1.409468279
174	1.407458812
175	1.40700943
176	1.406842887
177	1.406593404
178	1.40373973
179	1.401861512
180	1.399401291
181	1.399083824
182	1.398801454
183	1.398338029
184	1.397362934
185	1.396051517
186	1.393795587
187	1.392014667
188	1.389042156
189	1.388111317
190	1.386831245
191	1.383660845
192	1.382354841
193	1.381303378
194	1.379193534
195	1.379108652
196	1.37618681
197	1.374383162
198	1.372967914
199	1.371251905
200	1.370689265
201	1.369953541
202	1.368934197
203	1.367584808
204	1.365890188
205	1.36526691
206	1.363362551
207	1.361396665
208	1.360849237
209	1.359771045
210	1.357769886
211	1.356213277
212	1.3560878
213	1.355547638
214	1.352969192
215	1.352433155
216	1.351639087
217	1.351380316
218	1.350995998
219	1.350523851
220	1.348573782
221	1.348182461
222	1.344981766
223	1.34335841
224	1.342418899
225	1.33849317
226	1.338424266
227	1.33833502
228	1.338075136
229	1.335885233
230	1.335622541
231	1.334240927
232	1.333526424
233	1.333100561
234	1.333061231
235	1.332683446
236	1.331232578
237	1.331097272
238	1.329917173
239	1.329853563
240	1.329803718
241	1.329405128
242	1.328942441
243	1.328883194
244	1.327424907
245	1.327328989
246	1.326004097
247	1.324038889
248	1.32261984
249	1.321980871
250	1.321926159
251	1.321923712
252	1.320966184
253	1.319324797
254	1.318138743
255	1.317893679
256	1.317825413
257	1.315705257
258	1.313133822
259	1.313005901
260	1.312766574
261	1.31162629
262	1.309835791
263	1.307930989
264	1.307726905
265	1.30589582
266	1.305117771
267	1.305030363
268	1.303537667
269	1.303209305
270	1.302977734
271	1.30295347
272	1.300739489
273	1.299241581
274	1.298379728
275	1.297983995
276	1.296597815
277	1.2958992
278	1.295883563
279	1.294105288
280	1.293334257
281	1.293285507
282	1.293235858
283	1.293030446
284	1.292978852
285	1.292540148
286	1.28956335
287	1.287661597
288	1.287299599
289	1.285187215
290	1.284295637
291	1.283888242
292	1.283539209
293	1.283439393
294	1.282544125
295	1.28245237
296	1.278310939
297	1.277784853
298	1.277571893
299	1.276504503
300	1.27523086
301	1.274710445
302	1.272819156
303	1.272412116
304	1.272284371
305	1.271835697
306	1.269586681
307	1.269254778
308	1.268795845
309	1.268783818
310	1.26651242
311	1.266396755
312	1.266268018
313	1.262100368
314	1.261858255
315	1.261856562
316	1.261290562
317	1.260933724
318	1.258525953
319	1.257261962
320	1.257144232
321	1.257039213
322	1.256324527
323	1.256310341
324	1.252731196
325	1.252170771
326	1.252027604
327	1.250643536
328	1.250579358
329	1.25039813
330	1.250328668
331	1.249763015
332	1.249597054
333	1.248599948
334	1.24738814
335	1.24736069
336	1.246306555
337	1.24477791
338	1.243630549
339	1.24253189
340	1.242425586
341	1.242301587
342	1.241826402
343	1.241705636
344	1.23969458
345	1.23908378
346	1.238991171
347	1.236685239
348	1.236103467
349	1.234769468
350	1.234679798
351	1.234250488
352	1.232470198
353	1.23226907
354	1.232231624
355	1.230500942
356	1.23041235
357	1.230262582
358	1.230175015
359	1.228734591
360	1.227840198
361	1.227823645
362	1.226494077
363	1.226366177
364	1.224703508
365	1.223277797
366	1.223157046
367	1.220855203
368	1.220746562
369	1.218993866
370	1.217939234
371	1.215411644
372	1.215407174
373	1.215275094
374	1.213544321
375	1.213414503
376	1.213018172
377	1.210719386
378	1.2098482
379	1.208432338
380	1.208289544
381	1.207901082
382	1.207507592
383	1.207465688
384	1.207444458
385	1.206936586
386	1.206853496
387	1.206743089
388	1.206708088
389	1.206556693
390	1.205901828
391	1.205371128
392	1.205201333
393	1.204244964
394	1.204151145
395	1.204096503
396	1.201518408
397	1.201293248
398	1.200439983
399	1.200383951
400	1.200233793
401	1.200174904
402	1.200138186
403	1.19967647
404	1.1963255
405	1.195795041
406	1.195590041
407	1.195510758
408	1.194987446
409	1.194920023
410	1.19485837
411	1.19447162
412	1.194420112
413	1.193735479
414	1.192851531
415	1.192284154
416	1.190226362
417	1.190189235
418	1.189314403
419	1.188704621
420	1.188643723
421	1.188591398
422	1.188153038
423	1.188050705
424	1.186402453
425	1.186109074
426	1.185981811
427	1.184481773
428	1.182384748
429	1.18221635
430	1.180889444
431	1.179788075
432	1.179560475
433	1.178944872
434	1.177184431
435	1.175372074
436	1.175346732
437	1.174987689
438	1.173801333
439	1.173754378
440	1.173752506
441	1.173312452
442	1.173031877
443	1.171256399
444	1.171224194
445	1.1704605
446	1.170259824
447	1.170180754
448	1.169945547
449	1.169599405
450	1.169404479
451	1.169353433
452	1.167547687
453	1.167534671
454	1.167507068
455	1.166950486
456	1.166923079
457	1.166300491
458	1.166247582
459	1.166180958
460	1.166070678
461	1.165821762
462	1.165769669
463	1.165380232
464	1.165334456
465	1.165305387
466	1.165086588
467	1.164733972
468	1.164728312
469	1.164425541
470	1.164395663
471	1.164133282
472	1.164117973
473	1.162908982
474	1.16290515
475	1.162874656
476	1.162860537
477	1.162833663
478	1.162803902
479	1.162800333
480	1.162771148
481	1.162766424
482	1.160506839
483	1.160164457
484	1.160138415
485	1.160118423
486	1.158836212
487	1.158758259
488	1.15865038
489	1.158483748
490	1.158283421
491	1.158233887
492	1.158153522
493	1.158146671
494	1.157424551
495	1.157104625
496	1.156765616
497	1.156751422
498	1.156482135
499	1.156474746
